poly index,x,y
0,62,277
0,61,276
0,60,275
0,54,275
0,53,275
0,46,279
0,45,280
0,43,282
0,42,283
0,38,288
0,38,289
0,35,295
0,35,296
0,33,301
0,33,302
0,32,307
0,32,308
0,32,315
0,32,316
0,35,324
0,35,325
0,40,333
0,41,334
0,48,341
0,49,342
1,142,144
2,221,170
2,218,167
2,218,166
2,217,160
2,217,159
2,215,151
2,215,150
2,213,145
2,213,144
2,206,137
2,205,136
2,196,134
2,195,134
2,186,136
2,185,136
2,177,141
2,176,141
2,169,147
2,168,148
2,165,152
2,164,153
2,161,158
2,160,159
2,155,168
2,155,169
2,151,178
2,151,179
2,149,184
2,149,185
2,147,191
2,147,192
2,146,201
2,146,202
2,147,206
2,147,207
2,147,212
2,147,213
2,150,222
2,151,223
2,153,227
2,153,228
2,155,232
2,156,233
2,158,236
2,159,237
2,164,242
2,165,242
2,166,243
2,167,244
2,174,247
2,175,247
2,179,248
2,180,249
3,107,274
3,102,278
3,101,279
3,99,281
3,99,282
3,97,284
3,96,285
3,93,290
3,92,291
3,89,296
3,88,297
3,85,303
3,85,304
3,81,311
3,81,312
3,78,320
3,78,321
3,75,330
3,75,331
3,73,340
3,73,341
3,73,350
3,73,351
3,73,360
3,73,361
3,73,365
3,74,366
3,75,371
3,75,372
3,78,381
3,79,382
3,80,385
3,81,386
3,84,391
3,85,392
3,90,397
3,91,398
3,98,401
3,99,402
3,107,402
3,108,402
3,116,401
3,117,400
3,125,397
3,126,396
3,132,392
3,133,391
3,138,385
3,139,384
3,144,378
3,145,377
4,108,273
4,113,269
4,114,268
4,116,267
4,117,267
4,125,265
4,126,265
4,132,267
4,133,267
4,139,272
4,139,273
4,143,281
4,143,282
4,143,290
4,142,291
4,140,300
4,140,301
4,136,309
4,135,310
4,131,317
4,130,318
4,125,324
4,124,325
4,123,326
4,122,327
4,116,333
4,115,334
4,108,339
4,107,340
4,98,345
4,97,345
5,196,381
5,197,382
5,197,383
5,193,389
5,192,389
5,187,390
5,186,390
5,181,383
5,181,382
5,180,375
5,179,374
5,179,367
5,179,366
5,180,359
5,180,358
5,181,350
5,181,349
5,182,342
5,183,341
5,183,334
5,183,333
5,178,328
5,177,328
5,172,326
5,171,325
5,168,324
5,167,324
5,163,325
5,162,326
5,159,329
5,158,330
5,154,337
5,154,338
5,152,344
5,151,345
5,150,352
5,150,353
5,149,359
5,149,360
5,149,367
5,149,368
5,149,372
5,149,373
6,165,380
6,162,382
6,161,382
6,156,381
6,155,380
6,153,377
6,152,376
6,151,375
6,150,374
7,252,238
7,250,235
7,249,234
7,248,229
7,248,228
7,248,223
7,248,222
7,248,217
7,248,216
7,249,211
7,249,210
7,250,205
7,250,204
7,251,199
7,251,198
7,252,193
7,252,192
7,253,187
7,253,186
7,253,181
7,253,180
7,254,175
7,254,174
7,254,169
7,255,168
7,255,163
7,255,162
7,255,157
7,254,156
7,253,151
7,253,150
7,247,146
7,246,147
7,243,148
7,242,148
7,238,152
7,237,153
7,234,159
7,233,160
7,230,166
7,230,167
7,226,169
7,225,170
8,214,249
8,213,246
8,213,245
8,212,239
8,212,238
8,211,232
8,211,231
8,211,226
8,211,225
8,212,219
8,212,218
8,213,212
8,213,211
8,215,204
8,215,203
8,215,199
8,216,198
8,216,193
8,217,192
8,218,187
8,218,186
8,219,180
8,219,179
8,220,175
8,220,174
9,302,253
9,298,257
9,297,258
9,295,258
9,294,258
9,288,253
9,288,252
9,286,247
9,286,246
9,285,241
9,285,240
9,285,235
9,285,234
9,285,229
9,285,228
9,285,223
9,285,222
9,286,217
9,286,216
9,286,211
9,286,210
9,287,205
9,287,204
9,288,199
9,288,198
9,289,193
9,289,192
9,289,187
9,289,186
9,290,181
9,290,180
9,290,175
9,290,174
9,290,169
9,289,168
9,288,163
9,288,162
9,284,159
9,283,159
9,280,160
9,279,160
9,276,162
9,275,163
9,272,168
9,272,169
10,302,252
10,304,244
10,304,243
11,342,226
11,345,223
11,345,222
11,345,216
11,345,215
11,347,208
11,347,207
11,348,201
11,348,200
11,346,194
11,345,193
11,340,189
11,339,189
11,330,189
11,329,190
11,327,192
11,326,193
11,322,200
11,322,201
11,318,209
11,318,210
11,317,215
11,316,216
11,315,222
11,315,223
11,316,230
11,316,231
11,318,237
11,318,238
11,321,242
11,322,243
11,329,244
11,330,244
11,338,238
11,339,237
11,342,231
11,342,230
12,358,227
12,355,227
12,354,227
12,350,227
12,349,227
12,347,226
12,346,226
13,232,314
13,231,310
13,231,309
13,234,303
13,234,302
13,237,295
13,237,294
13,239,288
13,239,287
13,241,280
13,241,279
13,242,273
13,242,272
13,242,265
13,242,264
13,236,259
13,235,259
13,228,264
13,227,265
13,225,269
13,224,270
13,221,276
13,221,277
13,219,283
13,218,284
13,216,290
13,216,291
13,214,296
13,214,297
13,213,303
13,212,304
13,211,310
13,211,311
13,209,317
13,209,318
13,209,323
13,209,324
13,208,330
13,208,331
13,207,336
13,207,337
13,207,343
13,207,344
13,207,350
13,207,351
13,207,357
13,207,358
13,208,364
13,208,365
13,210,371
13,211,372
13,213,377
13,214,378
13,218,382
13,219,383
13,221,384
13,222,384
13,226,384
13,227,383
13,231,377
13,232,376
13,237,369
13,238,368
14,264,327
14,263,323
14,264,322
14,267,316
14,267,315
14,270,308
14,270,307
14,272,301
14,272,300
14,275,292
14,275,291
14,276,286
14,276,285
14,276,279
14,276,278
14,274,274
14,273,274
14,269,273
14,268,273
14,262,279
14,262,280
14,259,286
14,258,288
14,257,290
14,257,291
14,255,297
14,255,298
14,253,302
14,253,303
14,251,308
14,251,309
14,250,313
14,249,314
14,248,319
14,248,320
14,248,324
14,248,325
14,247,330
14,247,331
14,245,338
14,245,339
14,244,347
14,244,348
14,243,355
14,243,356
14,242,364
14,242,365
15,284,377
15,280,376
15,279,376
15,276,379
15,275,380
15,272,388
15,272,389
15,267,397
15,266,398
15,259,399
15,258,398
15,255,397
15,254,396
15,250,390
15,249,389
15,246,381
15,246,380
15,245,373
15,245,372
16,363,318
16,365,314
16,365,313
16,364,306
16,365,305
16,364,298
16,363,297
16,362,290
16,362,289
16,361,284
16,361,283
16,359,278
16,359,277
16,356,272
16,356,271
16,354,268
16,353,267
16,347,262
16,346,261
16,341,259
16,340,259
16,336,259
16,335,259
16,330,260
16,329,261
16,324,263
16,323,264
16,319,267
16,318,268
16,314,273
16,313,274
16,310,280
16,309,281
16,307,289
16,307,290
16,307,294
16,307,295
16,308,300
16,308,301
16,310,306
16,311,307
16,313,310
16,314,311
16,321,316
16,322,316
16,328,319
16,329,319
16,335,320
16,336,320
16,342,320
16,343,320
16,350,319
16,351,319
16,358,319
16,359,319
17,406,373
17,403,373
17,402,374
17,399,381
17,399,382
17,398,391
17,398,392
17,396,400
17,395,401
17,392,407
17,391,408
17,386,409
17,385,409
17,382,408
17,381,407
17,379,405
17,378,404
17,377,399
17,377,398
17,376,393
17,376,392
17,375,387
17,375,386
17,376,381
17,376,380
17,377,375
17,377,374
17,378,369
17,378,368
17,379,364
17,379,363
17,380,358
17,381,357
17,381,352
17,381,351
17,382,346
17,382,345
17,383,341
17,383,340
17,382,335
17,382,334
17,381,329
17,381,328
17,379,324
17,378,323
17,374,320
17,373,320
17,370,319
17,369,319
17,367,319
17,366,319
18,353,383
18,353,379
18,353,378
18,355,372
18,355,371
18,357,364
18,358,363
18,359,357
18,359,356
18,361,349
18,361,348
18,362,342
18,362,341
18,363,335
18,364,334
18,365,328
18,365,327
18,364,322
18,364,321
19,284,377
19,281,374
19,281,373
19,281,367
19,281,366
19,281,361
19,281,360
19,282,354
19,282,353
19,282,348
19,282,347
19,283,342
19,283,341
20,291,383
20,289,385
20,288,384
20,284,380
20,283,379
21,329,384
21,330,381
21,330,380
21,331,375
21,331,374
21,331,367
21,331,366
21,332,359
21,332,358
21,335,351
21,335,350
21,336,343
21,336,342
21,334,336
21,333,335
21,329,331
21,328,331
21,321,330
21,320,331
21,317,334
21,316,335
21,314,339
21,313,340
21,311,345
21,311,346
21,309,351
21,309,352
21,308,358
21,308,359
21,306,366
21,306,367
21,306,374
21,307,375
21,308,382
21,309,383
21,312,388
21,313,388
21,320,387
21,321,387
21,323,385
21,324,385
22,335,400
22,332,397
22,332,396
22,332,391
22,332,390
23,314,405
23,313,402
23,312,403
23,307,406
23,306,407
23,305,408
23,304,408
23,301,412
23,300,413
23,298,416
23,297,417
23,293,422
23,293,423
23,290,430
23,290,431
23,288,437
23,288,438
23,288,445
23,288,446
23,289,452
23,290,453
23,293,459
23,294,460
23,300,463
23,301,464
23,307,464
23,308,464
23,315,462
23,316,462
23,318,461
23,319,460
23,323,456
23,324,455
23,326,452
23,327,451
23,330,445
23,330,444
23,331,439
23,332,438
23,333,432
23,333,431
23,333,425
23,333,424
23,333,418
23,333,417
23,333,411
23,333,410
23,333,404
23,333,403
24,347,426
24,349,420
24,349,419
24,349,414
24,349,413
24,346,407
24,346,406
24,343,403
24,342,403
24,338,402
24,337,402
25,368,420
25,367,420
25,366,419
26,423,176
26,423,173
26,423,172
26,426,166
26,426,165
26,428,159
26,428,158
26,430,153
26,430,152
26,431,146
26,432,145
26,432,140
26,432,139
26,432,133
26,432,132
26,424,129
26,423,130
26,419,135
26,419,136
26,417,139
26,417,140
26,416,143
26,416,144
26,413,152
26,413,153
26,411,159
26,411,160
26,409,166
26,409,167
26,408,172
26,407,173
26,406,178
26,406,179
26,406,188
26,406,189
26,405,192
26,405,193
27,403,195
27,398,195
27,397,195
27,389,194
27,388,194
27,382,199
27,381,200
27,378,207
27,377,208
27,375,214
27,374,215
27,373,222
27,373,223
27,372,229
27,372,230
27,372,237
27,372,238
27,373,245
27,374,246
27,378,252
27,379,252
27,388,250
27,389,249
27,392,244
27,392,243
27,397,236
27,398,235
28,404,236
28,400,233
28,400,232
28,401,223
28,401,222
28,401,215
28,401,214
28,402,208
28,402,207
28,402,200
28,403,199
29,433,233
29,430,234
29,429,235
29,425,238
29,424,238
29,423,239
29,423,240
29,419,245
29,418,246
29,412,248
29,411,247
29,408,246
29,407,246
29,404,240
29,403,239
30,451,204
30,452,199
30,452,198
30,448,190
30,447,190
30,443,190
30,442,190
30,438,196
30,437,197
30,435,204
30,435,205
30,433,212
30,432,213
30,431,220
30,431,221
30,431,228
30,431,229
31,479,189
31,478,192
31,478,193
31,477,201
31,476,202
31,474,208
31,474,209
31,473,213
31,472,214
31,471,219
31,471,220
31,469,226
31,469,227
31,467,233
31,466,234
31,463,240
31,462,241
31,461,243
31,460,244
31,454,250
31,453,251
31,447,252
31,446,252
31,441,250
31,440,249
31,436,244
31,436,243
31,433,237
31,433,236
32,478,173
32,480,170
32,480,169
32,479,164
32,478,163
32,477,158
32,477,157
32,474,154
32,473,153
32,468,151
32,467,151
32,463,153
32,462,154
32,459,158
32,459,159
32,457,163
32,457,164
32,457,169
32,457,170
32,458,175
32,459,176
32,462,181
32,462,182
32,465,184
32,466,185
32,469,186
32,470,186
32,475,187
32,476,187
33,509,210
33,511,212
33,511,213
33,509,219
33,509,220
33,507,226
33,507,227
33,506,233
33,506,234
33,504,239
33,504,240
33,502,246
33,502,247
33,501,252
33,500,253
33,498,256
33,497,257
33,490,258
33,489,258
33,485,251
33,485,250
33,484,242
33,484,241
33,485,232
33,486,231
33,488,223
33,488,222
33,490,213
33,491,212
33,493,204
33,493,203
33,495,194
33,494,193
33,490,187
33,489,187
33,487,187
33,486,186
33,483,186
33,482,186
34,538,289
34,532,291
34,531,291
34,522,293
34,521,293
34,514,295
34,513,295
34,505,298
34,504,298
34,498,300
34,497,300
34,491,301
34,490,302
34,485,303
34,484,303
34,479,304
34,478,304
34,471,305
